Functional Group,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11
carboxylic acid,12.02,6.914,2.21,1.833,1.067,0,0,0,0,0,0
carboxylic acid,11,6.285,0,0,0,0,0,0,0,0,0
carboxylic acid,12.98,6.647,0,0,0,0,0,0,0,0,0
carboxylic acid,10.4,2.773,2.613,2.205,0,0,0,0,0,0,0
carboxylic acid,7.04,2.908,1.7,0.98,0,0,0,0,0,0,0
carboxylic acid,10.6,4.526,4.04,3.951,2.321,2.104,1.967,0,0,0,0
carboxylic acid,9.58,4.522,4.036,3.948,2.318,2.101,1.965,0,0,0,0
carboxylic acid,11.1,4.529,4.041,3.951,2.321,2.104,1.97,0,0,0,0
carboxylic acid,11.2,2.348,1.639,1.33,0.902,0,0,0,0,0,0
carboxylic acid,11.7,2.22,1.6,0.95,0,0,0,0,0,0,0
carboxylic acid,11.89,2.235,1.063,0,0,0,0,0,0,0,0
carboxylic acid,12.6,3.316,1.223,0,0,0,0,0,0,0,0
carboxylic acid,11.2,3.71,3.53,2.635,1.206,0,0,0,0,0,0
carboxylic acid,12.09,8.12,7.62,7.45,0,0,0,0,0,0,0
carboxylic acid,11.6,4.288,2.15,1.96,1.089,0,0,0,0,0,0
amide,8.206,7.475,7.213,0,0,0,0,0,0,0,0
amide,8.027,7.4,2.936,2.815,0,0,0,0,0,0,0
amide,5.6,0,0,0,0,0,0,0,0,0,0
amide,6.2,2.243,1.153,0,0,0,0,0,0,0,0
amide,6,2.418,1.176,0,0,0,0,0,0,0,0
amide,8.16,7.72,7.08,2.944,2.525,0,0,0,0,0,0
amide,7.68,6.3,6.18,5.71,4.81,3.47,0,0,0,0,0
amide,8.244,8.006,7.51,7.51,6.83,1.368,1.343,0,0,0,0
amide,6.89,3.282,2.826,1.997,1.38,0,0,0,0,0,0
amide,7.07,6.95,5.16,1.232,0,0,0,0,0,0,0
amide,13.4,8.41,7.919,7.675,0,0,0,0,0,0,0
amide,5.7,1.322,1.199,1.151,1.085,0.765,0,0,0,0,0
amide,8.45,7.42,6.096,0,0,0,0,0,0,0,0
amide,6.3,5.9,2.2,1.63,1.33,0.91,0,0,0,0,0
amide,8.04,7.33,7.03,3.611,1.853,0,0,0,0,0,0
amide,6.8,4.1,3.68,3.39,2.238,1.154,0,0,0,0,0
amide,8,7.92,7.49,7.47,7.4,0,0,0,0,0,0
amide,7.77,3.628,3.577,2.072,0,0,0,0,0,0,0
amide,9.081,8.735,8.249,8.22,7.67,7.527,0,0,0,0,0
amide,9.205,8.868,8.729,8.25,7.86,0,0,0,0,0,0
amide,10.4,7.4,3.909,0,0,0,0,0,0,0,0
amide,6.208,6.113,5.9,5.545,1.393,0,0,0,0,0,0
amide,7.05,4.318,3.063,3.031,2.895,2.778,2.09,2.07,1.959,1.634,0
amide,15,9.12,6.411,6.255,2.74,0,0,0,0,0,0
